mep_id,name,country,party
"187917","Marc Botenga","Belgium",""
"256942","Marc Jongen","Germany","Europe of Sovereign Nations Group"
"257070","Marcin Sypniewski","Poland","Europe of Sovereign Nations Group"
"257137","Marco Falcone","Italy","Group of the European People's Party (Christian Democrats)"
"257109","Marco Squarta","Italy","European Conservatives and Reformists Group"
"257160","Marco Tarquinio","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"204413","Marcos Ros Sempere","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"204414","Margarita de la Pisa Carrión","Spain","Patriots for Europe Group"
"124785","Maria Grapini","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256803","Maria Guzenina","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"124836","Maria Noichl","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"198076","Maria Ohisalo","Finland","Group of the Greens/European Free Alliance"
"197863","Maria Walsh","Ireland","Group of the European People's Party (Christian Democrats)"
"256955","Maria Zacharia","Greece",""
"199941","Marianne Vind","Kingdom of Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257143","Mariateresa Vivaldini","Italy","European Conservatives and Reformists Group"
"236050","Marie Dauchy","France","Patriots for Europe Group"
"97236","Marie Toussaint","France","Group of the Greens/European Free Alliance"
"256926","Marie-Agnes Strack-Zimmermann","Germany","Renew Europe Group"
"256878","Marie-Luce Brasier-Clain","France","Patriots for Europe Group"
"197502","Marie-Pierre Vedrenne","France","Renew Europe Group"
"192254","Marieke Ehlers","Kingdom of the Netherlands","Patriots for Europe Group"
"197491","Marina Kaljurand","Estonia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"236053","Marina Mesure","France",""
"197795","Mario Furore","Italy",""
